2026-01-04 08:32:48 | DEBUG    | langtrader.stream_manager | _watch_stream:234 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 12s)
2026-01-04 08:32:48 | DEBUG    | langtrader.stream_manager | _watch_stream:200 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 08:32:48 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:XRP/USDC:USDC:3m:100:
2026-01-04 08:32:48 | DEBUG    | langtrader.stream_manager | _watch_stream:234 | 📡 Updated partial candle (real-time): XRP/USDC:USDC 3m (close in 12s)
2026-01-04 08:32:48 | DEBUG    | langtrader.stream_manager | _watch_stream:200 | 📊 Watching XRP/USDC:USDC 3m...
2026-01-04 08:32:49 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 08:32:49 | DEBUG    | langtrader.stream_manager | _watch_stream:234 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 11s)
2026-01-04 08:32:49 | DEBUG    | langtrader.stream_manager | _watch_stream:200 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 08:32:49 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 08:32:49 | DEBUG    | langtrader.stream_manager | _watch_stream:234 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 11s)
2026-01-04 08:32:49 | DEBUG    | langtrader.stream_manager | _watch_stream:200 | 📊 Watching SOL/USDC:USDC 3m...
2026-01-04 08:32:50 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 08:32:50 | DEBUG    | langtrader.stream_manager | _watch_stream:234 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 10s)
2026-01-04 08:32:50 | DEBUG    | langtrader.stream_manager | _watch_stream:200 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 08:32:50 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 08:32:50 | DEBUG    | langtrader.stream_manager | _watch_stream:234 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 9s)
2026-01-04 08:32:50 | DEBUG    | langtrader.stream_manager | _watch_stream:200 | 📊 Watching SOL/USDC:USDC 3m...
